sentence,growth,slow,grown,rate,grew,new,increase,profit,sales,profitability,revenue,margin,ebitda,fast,eps,%,quarter,top,progress,bottom,strong,organic,drivers,high,add,improve,consistency,annual,quarterly,income
" And even as we grow faster online than we do in brick-and-mortar, in-store support remains the key investment for us in order to command the shelf, stay competitive on price, and help customers maintain their growing e-commerce business.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" Financial Services revenue growth was 27%, including organic revenue of 4%, acquisitive growth of 24% and negative 1% FX impact. Recurring fixed organic growth was 7%, in line with our full year growth trends and recurring variable organic growth was 3%. Non-recurring organic declined $3 million or 12% versus the prior year.",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
" The installation of Lifecore's new $16 million multi-purpose filling line was completed during the first quarter of fiscal 2019 and validation began during the second quarter, with commercial production projected to begin in fiscal 2020. The new line will further enhance Lifecore's growth strategy as a CDMO, which is specifically designed to align Lifecore's capabilities with the growing needs and market expectations of its partners.",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
" Our key priorities are to first, drive same-store sales growth by significantly improving our core business, we need to be vigilant about the Six Rights of merchandising. And this will impact all of the core areas of our business from buying an operations through supply chain. We need to develop and build talent both internally and externally and optimize our organizational structure. We need to drive growth by accelerating our digital transformation so as to better position PriceSmart in a rapidly evolving omnichannel digital competitive environment. We are in retail, our members today expect certain things and how they shop, we need to address that. We need to drive longer term growth with our new format concept which is currently under way and continue to evaluate opportunities to enter new markets. ",1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" In the end, strong execution in the first partial quarter of adult-use helped drive 63% quarter-over-quarter net revenue growth",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
" A few points that bode well for 2019. Energy is still consolidating growth off a low base. Automotive is well diversified and investments are bearing fruit. CMS is reorganized and positioned to grow at a steadier rate. And Financial Services will continue to have solid recurring revenue growth, while our non-recurring revenue could see both two way variability",1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" Hydro Flask continues to enjoy excellent point-of-sale performance across the diverse distribution channels we track, which include NPD, SSI active lifestyle industry, natural foods, online and also in specific customers. Stronger in-store presentations across bottles and accessories we started over the holidays are showing early encouraging results. We are seeing healthy consumer takeaway with notable complementary sales from accessories. Hydro Flask also continues to earn new distribution and expands its geographic footprint",0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 In challenging market conditions AMR achieved strong volume growth year-over-year with these benefits partially offsetting the adverse impact of significantly lower selling prices for Zorba and other nonferrous products. Our ferrous sales volumes were up 15% and nonferrous sales volumes were up 18% compared to the first quarter of last year.,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
 Our commercial strategy in 2019 will focus on 30 states that drive over half of the rapid-acting insulin market. This will enable us to shrink the size of existing territories as well as add approximately 15 new sales territories in areas where we are growing. We anticipate positive payer coverage and or/are generally seeing faster uptake of Afrezza. This will provide more face time with the customers and increase top of -- mind awareness that currently drive over 90% of Afrezza sales,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
 The strong financial performance is mainly related to the continued growth and upsizing in residential internet and commercial services. Rate increases and the ramp up of the Florida expansion plan which is now positively contributing to EBITDA.,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
 We also made steady progress with our other heavy equipment OEM with revenues up 19% versus the same period last year. Global expansion remains an important area of focus for the company and in the third quarter international revenues were 24% of our consolidated results.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
" A key change weâ€™ve made in our sales approach is that weâ€™re focusing on customer needs earlier in the project planning, design, and procurement process than we have done in the past. We track our pipeline based on projects with a 50% and 75% probability of success, and in both cases our pipeline is showing good growth",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" Our seven Leadership Brands are now approximately 80% of our sales. The strategic choices we are making around investment in digital marketing and online support for our Leadership Brands are critical and are paying-off with sales growth, market share gains for some, and improvements at all touchpoints of the consumer journey",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Both PMT and Healthcare sales in the quarter were above prior year. So it's clear our key initiatives are driving growth. Canvys has grown nearly 10% year-to-date versus the first half of FY '18. Jens Ruppert continues to do an excellent job managing the display business.,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
 We also completed the acquisition of Yucatan Foods and entered the high growth guacamole category. This acquisition accelerates the transformation of LNF from a packaged fresh vegetable business to a branded natural foods business by providing critical mass to our emerging natural food brand portfolio.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
" And you see the consistency there with MedSurg, a leader at 9% growth; Cardio at 7% and Rhythm and Neuro at 8% growth. And on the regional performance, consistency with US up 7%, Asia-Pac, 7%, Latin America strong growth at 16%",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
" As to community count with a sequential increase in our ending count in the fourth quarter, we reached a turning point in our average count, which was up slightly year-over-year. This, together with our planned openings in the first half of 2019, have us well positioned as the spring selling season begins. We continue to expect between 10% and 15% growth in our average community count for the full year.",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
